,Origin,Origin_colours,Pool,Pool_colours,Measurer,Measurer_colours,Species,Species_colours,WingLength,T6Length,T1Length,ForkDepth,BillLength,BillWidth,BillDepth,ArchDepth,SkullLength,TarsusLength,ParaseptalProcessPlacement,EarCovertExtent,CollarExtent,Scapulars,SecondaryExtent,SecondaryShape,EarCovertColour,CollarColour,FlankColour
AM132451,S.Georgia,8,SAO,2,JT,5,P.georgicus,2,112,45,36,9,14.2,11.3,7.5,NA,49.3,23.6,NA,4,4,2,2,3,3,3,3
AM407708,S.Georgia,8,SAO,2,JT,5,P.georgicus,2,112,42,31,11,15,9.6,7.7,NA,47.3,20,NA,4,3,2,2,3,3,3,NA
AM435939,S.Georgia,8,SAO,2,JT,5,P.georgicus,2,113,40,34,6,14.1,9,7.2,NA,49.1,21.2,NA,4,3,4,2,3,3,3,2
AM435948,S.Georgia,8,SAO,2,JT,5,P.georgicus,2,112,39,34,5,14.6,10.4,7.4,NA,48.1,19.5,60,4,4,1,2,3,3,3,NA
AM446731,S.Georgia,8,SAO,2,JT,5,P.georgicus,2,113,37,29,8,13.1,7.7,7.4,4.7,48.2,24.1,NA,4,3,2,2,3,3,3,2
AM446732,S.Georgia,8,SAO,2,JT,5,P.georgicus,2,119,37,31,6,14.3,7.9,7.1,5.3,54.2,24.8,NA,4,4,1,2,3,3,3,3
AM446738,S.Georgia,8,SAO,2,JT,5,P.georgicus,2,113,37,34,3,14.3,7.7,8.1,4.6,48.7,25,NA,4,2,3,2,3,3,4,2
AM446739,S.Georgia,8,SAO,2,JT,5,P.georgicus,2,118,39,34,5,14.9,7.5,8.7,5.8,51.3,25.2,NA,3,2,2,3,3,4,4,2
AM446740,S.Georgia,8,SAO,2,JT,5,P.georgicus,2,115,38,34,5,13.4,7.8,7.9,5.1,50.1,24.6,NA,3,3,3,2,3,4,4,2
AM446742,S.Georgia,8,SAO,2,JT,5,P.georgicus,2,111,37,33,4,14.1,8,8,4.7,48.5,24.8,NA,4,2,2,2,3,4,4,2
AM446747,S.Georgia,8,SAO,2,JT,5,P.georgicus,2,118,32,35,-3,14.3,8,8.1,5.1,49.9,25.1,NA,4,3,3,2,3,3,3,NA
AM446752,S.Georgia,8,SAO,2,JT,5,P.georgicus,2,119,37,34,3,15.4,7.6,8.1,6.9,52,25.5,NA,3,4,3,2,3,3,3,3
AM446753,S.Georgia,8,SAO,2,JT,5,P.georgicus,2,116,40,35,5,14.9,7.9,8.1,6.3,50.8,25.2,NA,3,3,2,3,3,4,3,2
AM446756,S.Georgia,8,SAO,2,JT,5,P.georgicus,2,111,36,33,3,14.6,8.6,7.2,NA,46.4,19.3,NA,4,2,2,2,3,3,3,NA
AM446763,S.Georgia,8,SAO,2,JT,5,P.georgicus,2,118,41,36,5,14.8,7.8,8.1,5.6,50.6,25.3,NA,4,2,2,2,3,4,3,2
AM446764,S.Georgia,8,SAO,2,JT,5,P.georgicus,2,115,45,37,8,13.5,7.5,7,5.8,48.8,25.3,NA,4,3,2,2,3,3,3,2
AM448057,Kerguelen,5,SIO,3,JT,5,P.georgicus,2,121,42,39,3,14.7,7.9,7.3,4.7,55.8,24.4,NA,4,2,2,3,4,4,4,2
AM448058,Kerguelen,5,SIO,3,JT,5,P.georgicus,2,118,38,31,7,15.4,7.8,7,5,50.3,24.2,NA,3,2,2,5,4,3,3,2
AM528720,Macquarie,6,novus,1,JT,5,P.georgicus,2,112,36,29,7,14.9,7.4,8,5.8,51.3,22.5,50,4,1,4,3,4,3,1,1
AM528721,Macquarie,6,novus,1,JT,5,P.georgicus,2,110,37,32,5,14.4,7.4,7.7,6.6,49.1,24.7,70,4,3,2,3,4,4,3,1
AM701823,Kerguelen,5,SIO,3,JT,5,P.georgicus,2,120,38,36,2,14.2,8,7.6,3.7,50.2,25.1,NA,4,3,2,1,1,3,3,NA
AM701824,Kerguelen,5,SIO,3,JT,5,P.georgicus,2,119,42,37,5,15.2,7.5,8.2,4.9,49.8,25.9,NA,4,4,2,1,4,4,3,2
BA4636a,S.Georgia,8,SAO,2,AJT,1,P.georgicus,2,116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,2,2,3,3,3,2
BA52451,S.Georgia,8,SAO,2,AJT,1,P.georgicus,2,125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,2,2,3,4,3,2
BA52452,S.Georgia,8,SAO,2,AJT,1,P.georgicus,2,119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,1,2,2,4,3,3
BA52453,S.Georgia,8,SAO,2,AJT,1,P.georgicus,2,121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,1,2,2,4,3,3
BA52454,S.Georgia,8,SAO,2,AJT,1,P.georgicus,2,126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,2,3,4,3,2
BA70123,S.Georgia,8,SAO,2,AJT,1,P.georgicus,2,121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2,1,1,4,3,NA
BA8750,S.Georgia,8,SAO,2,AJT,1,P.georgicus,2,122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,3,2,3,4,3,2
D-143347,Codfish,2,SPO,4,JHF,4,P.whenuahouensis,3,122,45,37,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D-143370,Codfish,2,SPO,4,JHF,4,P.whenuahouensis,3,121,38,36,2,14.1,8.7,10.1,5.6,53.6,23.6,50,3,2,3,3,4,2,2,2
D-143380,Codfish,2,SPO,4,JHF,4,P.whenuahouensis,3,125,44,39,5,12.8,8.1,9.2,5.2,52.4,25.6,50,4,2,3,2,4,2,3,3
D-143394,Codfish,2,SPO,4,JHF,4,P.whenuahouensis,3,119,42,38,4,13.9,8.7,11,NA,50.9,24.3,50,3,1,4,3,4,3,1,NA
D-182916,Codfish,2,SPO,4,JHF,4,P.whenuahouensis,3,117,47,39,8,12.4,8.9,NA,NA,51.8,25.5,50,4,2,2,4,4,2,3,1
