Year;Cryptophyceae;Diatomophyceae;Litostomatea;Nostocophyceae;Prasinophyceae;DinoAUMX;DinoHT
1984;17800570.75;109880222.998611;65402365.4375;8760027.08333333;14184333.3333333;65867374.8402778;2483956.44444444
1985;7104032.37727273;326394627.989545;33015634.8136364;2628322.72727273;11669181.8181818;71861910.5651515;8877530.66060606
1986;10833245.5833333;178920108.532222;16733334.3755556;10818076.3888889;7623066.66666667;71764215.075;4297076.62222222
1987;13093058.1363636;140866393.704545;30667066.0530303;3806018.18181818;14268090.9090909;51769213.75;3667269.8030303
1988;7787179.53939394;74690601.3666667;50632444.9878788;10083408.9090909;9447272.72727273;53297888.5878788;6054993.73333333
1989;20203880.5734848;107878109.733333;64492267.9954545;7934030.68181818;12144927.2727273;75426645.0318182;4528268.18181818
1990;26669269.1020833;62119664.1472222;53250242.8791667;9990440.53333333;5898108.33333333;41722538.5416667;6386475.54444444
1991;6824186.45714286;54255373.752381;97374350.6523809;1788304.76190476;3178030.47619048;74419745.4571429;5037028.72380952
1992;16118930.4666667;100556925.175758;52213242.4909091;9966169.6969697;18413845.4545455;112716856.442424;2380836.92121212
1993;14309844.9888889;63988134.7777778;193189528.061111;3174759.44444444;17556241.6666667;85822201.85;9678282.85555556
1994;16317135.1513889;119751909.470417;69488012.3388889;12830470.8333333;13460633.3333333;57277957.6027778;5740689.83333333
1995;15648895.0708333;43156028.3277778;58602809.5055556;17032199.6277778;9138000;85595423.8416667;5566746.32222222
1996;8918775.73888889;82361830.3288889;78711943.6777778;12848390.6388889;16347833.3333333;91637322.1569444;5175656.46666667
1997;8753871.91388889;84938010.0930556;60863122.625;24064488.3333333;17742258.3333333;55327601.2138889;12921997.5833333
1998;8042482.1030303;39482277.369697;96121149.9121212;15322465.0606061;43158054.5454545;128445269.627273;9334674.54545454
1999;6633601.36363636;40391868.3659091;49914291.7666667;22292614.8606061;14841345.4545455;99498947.8333333;4112448.72727273
2000;8855269.63055556;36212945.9055556;68711524.9777778;11442932.3888889;18895258.3333333;100558215.504861;6682089.83333333
2001;7580574.28472222;72450000.3270833;53631603.35;11228156.7;11930386.1111111;43748334.2972222;5488403.35
2002;14781268.6805556;98897682.7708333;60041546.1416667;20275107.8611111;16635033.3333333;67976550.78125;4741028.47222222
2003;3244994.3125;95046865.7145833;26108744.1166667;26289377.4305556;12149750;73262084.2166667;7287482.51111111
2004;6849672.57222222;47440214.3041667;35894971.55;21777116.1611111;17722233.3333333;68011999.0722222;4822041.53333333
2005;6667747.97916667;95865730.9888889;40936470.7555556;31535697.7944444;15885894.4444444;60021816.2097222;5672264.98888889
2006;12333462.1701389;97148813.3805556;36956671.0638889;23791651.55;25375233.3333333;56251137.5486111;4564329.44444444
2007;8935748.18055556;29390738.7395833;44095178.0222222;23690530.2361111;15572211.1111111;33928314.1652778;3089801.52222222
2008;12764159.8819444;43800151.3236111;31925967.5944444;20827963.0722222;14649541.6666667;75596710.0944444;21710982.2722222
2009;8910858.38541667;49634779.5208333;35430164.3027778;39564902.1388889;10325083.3333333;81229744.2916667;2745739.18888889
2010;8337324.40151515;116692421.881364;46697394.4939394;31079901.0969697;11743415.1515152;74553463.6439394;7937719.97575758
2011;10476625.5659722;89233511.6304861;41548231.9388889;23485974.7083333;11596544.4444444;32295738.4611111;5977677.37777778
